DISTANCE_M,ELEVATION_M,NAME
0,236.4826,Cottonwood Marble Canyon C
9.283423218,236.1996,Cottonwood Marble Canyon C
18.56684644,235.9231,Cottonwood Marble Canyon C
27.85026966,235.6456,Cottonwood Marble Canyon C
37.13369288,235.3739,Cottonwood Marble Canyon C
46.4171161,235.0822,Cottonwood Marble Canyon C
55.70053931,234.6167,Cottonwood Marble Canyon C
64.98396253,234.3904,Cottonwood Marble Canyon C
74.26738575,234.1799,Cottonwood Marble Canyon C
83.55080897,233.9644,Cottonwood Marble Canyon C
92.83423219,233.7101,Cottonwood Marble Canyon C
102.1176554,233.424,Cottonwood Marble Canyon C
111.4010786,233.104,Cottonwood Marble Canyon C
120.6845018,232.7774,Cottonwood Marble Canyon C
129.9679251,232.3524,Cottonwood Marble Canyon C
139.2513483,232.0603,Cottonwood Marble Canyon C
148.5347715,231.6943,Cottonwood Marble Canyon C
157.8181947,231.2874,Cottonwood Marble Canyon C
167.1016179,230.8717,Cottonwood Marble Canyon C
176.3850412,230.4684,Cottonwood Marble Canyon C
185.6684644,230.0432,Cottonwood Marble Canyon C
194.9518876,229.6053,Cottonwood Marble Canyon C
204.2353108,228.8286,Cottonwood Marble Canyon C
213.518734,228.2942,Cottonwood Marble Canyon C
222.8021573,227.8648,Cottonwood Marble Canyon C
232.0855805,227.4728,Cottonwood Marble Canyon C
241.3690037,227.094,Cottonwood Marble Canyon C
250.6524269,226.7113,Cottonwood Marble Canyon C
259.9358501,226.3194,Cottonwood Marble Canyon C
269.2192734,225.9265,Cottonwood Marble Canyon C
278.5026966,225.3073,Cottonwood Marble Canyon C
287.7861198,224.7746,Cottonwood Marble Canyon C
297.069543,224.4206,Cottonwood Marble Canyon C
306.3529662,224.0798,Cottonwood Marble Canyon C
315.6363894,223.7483,Cottonwood Marble Canyon C
324.9198127,223.4327,Cottonwood Marble Canyon C
334.2032359,223.1345,Cottonwood Marble Canyon C
343.4866591,222.8457,Cottonwood Marble Canyon C
352.7700823,222.5526,Cottonwood Marble Canyon C
362.0535055,222.1309,Cottonwood Marble Canyon C
371.3369288,221.6211,Cottonwood Marble Canyon C
380.620352,221.2758,Cottonwood Marble Canyon C
389.9037752,220.9164,Cottonwood Marble Canyon C
399.1871984,220.5526,Cottonwood Marble Canyon C
408.4706216,220.2106,Cottonwood Marble Canyon C
417.7540449,219.9037,Cottonwood Marble Canyon C
