DISTANCE_M,ELEVATION_M,NAME
0,236.4826,Cottonwood Marble Canyon L
9.279097116,236.1788,Cottonwood Marble Canyon L
18.55819423,235.8676,Cottonwood Marble Canyon L
27.83729135,235.5502,Cottonwood Marble Canyon L
37.11638847,235.2252,Cottonwood Marble Canyon L
46.39548559,234.905,Cottonwood Marble Canyon L
55.67458271,234.3534,Cottonwood Marble Canyon L
64.95367982,234.0006,Cottonwood Marble Canyon L
74.23277694,233.6953,Cottonwood Marble Canyon L
83.51187406,233.3705,Cottonwood Marble Canyon L
92.79097118,233.0532,Cottonwood Marble Canyon L
102.0700683,232.7501,Cottonwood Marble Canyon L
111.3491654,232.5206,Cottonwood Marble Canyon L
120.6282625,232.441,Cottonwood Marble Canyon L
129.9073596,232.202,Cottonwood Marble Canyon L
139.1864568,231.643,Cottonwood Marble Canyon L
148.4655539,231.0662,Cottonwood Marble Canyon L
157.744651,230.5158,Cottonwood Marble Canyon L
167.0237481,229.9774,Cottonwood Marble Canyon L
176.3028452,229.4673,Cottonwood Marble Canyon L
185.5819424,229.0305,Cottonwood Marble Canyon L
194.8610395,228.6309,Cottonwood Marble Canyon L
204.1401366,228.2384,Cottonwood Marble Canyon L
213.4192337,227.5796,Cottonwood Marble Canyon L
222.6983308,227.0673,Cottonwood Marble Canyon L
231.9774279,226.6821,Cottonwood Marble Canyon L
241.2565251,226.2941,Cottonwood Marble Canyon L
250.5356222,225.8998,Cottonwood Marble Canyon L
259.8147193,225.5032,Cottonwood Marble Canyon L
269.0938164,225.1036,Cottonwood Marble Canyon L
278.3729135,224.7022,Cottonwood Marble Canyon L
287.6520106,224.2449,Cottonwood Marble Canyon L
296.9311078,223.5116,Cottonwood Marble Canyon L
306.2102049,223.1027,Cottonwood Marble Canyon L
315.489302,222.6883,Cottonwood Marble Canyon L
324.7683991,222.2813,Cottonwood Marble Canyon L
334.0474962,221.8778,Cottonwood Marble Canyon L
343.3265934,221.475,Cottonwood Marble Canyon L
352.6056905,221.1002,Cottonwood Marble Canyon L
361.8847876,220.7786,Cottonwood Marble Canyon L
371.1638847,220.4659,Cottonwood Marble Canyon L
380.4429818,220.0861,Cottonwood Marble Canyon L
389.7220789,219.6809,Cottonwood Marble Canyon L
399.0011761,219.3012,Cottonwood Marble Canyon L
408.2802732,218.9765,Cottonwood Marble Canyon L
417.5593703,218.6526,Cottonwood Marble Canyon L
426.8384674,218.3339,Cottonwood Marble Canyon L
436.1175645,218.0194,Cottonwood Marble Canyon L
445.3966616,217.7044,Cottonwood Marble Canyon L
