DISTANCE_M,ELEVATION_M,NAME
0,235.6429,Cottonwood Marble Canyon R
9.280626262,235.4692,Cottonwood Marble Canyon R
18.56125252,235.3014,Cottonwood Marble Canyon R
27.84187878,235.073,Cottonwood Marble Canyon R
37.12250504,234.7286,Cottonwood Marble Canyon R
46.4031313,234.5587,Cottonwood Marble Canyon R
55.68375756,234.3807,Cottonwood Marble Canyon R
64.96438382,234.1956,Cottonwood Marble Canyon R
74.24501008,234.0215,Cottonwood Marble Canyon R
83.52563634,233.8301,Cottonwood Marble Canyon R
92.8062626,233.6488,Cottonwood Marble Canyon R
102.0868889,233.4685,Cottonwood Marble Canyon R
111.3675151,233.3127,Cottonwood Marble Canyon R
120.6481414,233.1547,Cottonwood Marble Canyon R
129.9287676,232.8764,Cottonwood Marble Canyon R
139.2093939,232.5813,Cottonwood Marble Canyon R
148.4900202,232.2747,Cottonwood Marble Canyon R
157.7706464,231.6987,Cottonwood Marble Canyon R
167.0512727,231.0901,Cottonwood Marble Canyon R
176.3318989,230.5856,Cottonwood Marble Canyon R
185.6125252,230.1894,Cottonwood Marble Canyon R
194.8931515,229.7715,Cottonwood Marble Canyon R
204.1737777,229.2868,Cottonwood Marble Canyon R
213.454404,228.7889,Cottonwood Marble Canyon R
222.7350302,228.371,Cottonwood Marble Canyon R
232.0156565,227.9398,Cottonwood Marble Canyon R
241.2962828,227.5071,Cottonwood Marble Canyon R
250.576909,226.951,Cottonwood Marble Canyon R
259.8575353,226.495,Cottonwood Marble Canyon R
269.1381615,226.0357,Cottonwood Marble Canyon R
278.4187878,225.5795,Cottonwood Marble Canyon R
287.6994141,225.1288,Cottonwood Marble Canyon R
296.9800403,224.689,Cottonwood Marble Canyon R
306.2606666,224.2538,Cottonwood Marble Canyon R
315.5412929,223.8173,Cottonwood Marble Canyon R
324.8219191,223.379,Cottonwood Marble Canyon R
334.1025454,222.9384,Cottonwood Marble Canyon R
343.3831716,222.3142,Cottonwood Marble Canyon R
352.6637979,221.7828,Cottonwood Marble Canyon R
361.9444242,221.3607,Cottonwood Marble Canyon R
371.2250504,220.9589,Cottonwood Marble Canyon R
380.5056767,220.7904,Cottonwood Marble Canyon R
389.7863029,220.6112,Cottonwood Marble Canyon R
399.0669292,220.3024,Cottonwood Marble Canyon R
408.3475555,219.8411,Cottonwood Marble Canyon R
417.6281817,219.3686,Cottonwood Marble Canyon R
426.908808,218.9346,Cottonwood Marble Canyon R
436.1894342,218.5254,Cottonwood Marble Canyon R
445.4700605,217.9657,Cottonwood Marble Canyon R
454.7506868,217.5651,Cottonwood Marble Canyon R
464.031313,217.2015,Cottonwood Marble Canyon R
473.3119393,216.8349,Cottonwood Marble Canyon R
482.5925655,216.4498,Cottonwood Marble Canyon R
491.8731918,216.0664,Cottonwood Marble Canyon R
501.1538181,215.691,Cottonwood Marble Canyon R
510.4344443,215.3185,Cottonwood Marble Canyon R
519.7150706,215.091,Cottonwood Marble Canyon R
528.9956968,214.8641,Cottonwood Marble Canyon R
538.2763231,214.5051,Cottonwood Marble Canyon R
547.5569494,214.1406,Cottonwood Marble Canyon R
556.8375756,213.614,Cottonwood Marble Canyon R
566.1182019,213.219,Cottonwood Marble Canyon R
575.3988281,212.8519,Cottonwood Marble Canyon R
584.6794544,212.4908,Cottonwood Marble Canyon R
593.9600807,212.1391,Cottonwood Marble Canyon R
