EggID,egg_mass(g),treatment,sampling_day,AKR1D1 normalized,CBR1 normalized ,FKBP51 normalized,ACOT13 normalized
3,56.22,cort,10,0.000976563,0.999323328,0.500234572,0.70699182
4,56.35,cort,4,0.0625,0.957603281,0.514911615,0.699835806
6,60.24,oil,8,0.00390625,0.997296056,0.500937994,0.706647192
8,59.14,cort,8,0.00390625,0.997296056,0.500937994,0.706647192
11,60.06,oil,6,0.015625,0.989228013,0.503747258,0.705272524
12,64.88,cort,8,0.00390625,0.997296056,0.500937994,0.706647192
15,59.18,oil,10,0.000976563,0.999323328,0.500234572,0.70699182
16,61.14,cort,8,0.00390625,0.997296056,0.500937994,0.706647192
19,63.48,oil,8,0.00390625,0.997296056,0.500937994,0.706647192
21,63.43,cort,6,0.015625,0.989228013,0.503747258,0.705272524
22,63.28,oil,6,0.015625,0.989228013,0.503747258,0.705272524
23,64.43,cort,4,0.0625,0.957603281,0.514911615,0.699835806
25,54.14,oil,6,0.015625,0.989228013,0.503747258,0.705272524
27,62.91,oil,10,0.000976563,0.999323328,0.500234572,0.70699182
28,53.35,cort,4,0.0625,0.957603281,0.514911615,0.699835806
29,66.26,cort,10,0.000976563,0.999323328,0.500234572,0.70699182
31,61.35,cort,10,0.000976563,0.999323328,0.500234572,0.70699182
33,60.5,cort,10,0.000976563,0.999323328,0.500234572,0.70699182
34,63.82,oil,4,0.0625,0.957603281,0.514911615,0.699835806
36,61.93,oil,8,0.00390625,0.997296056,0.500937994,0.706647192
37,52.37,oil,4,0.0625,0.957603281,0.514911615,0.699835806
38,55.04,oil,8,0.00390625,0.997296056,0.500937994,0.706647192
39,60.6,oil,4,0.0625,0.957603281,0.514911615,0.699835806
40,56.1,cort,8,0.00390625,0.997296056,0.500937994,0.706647192
41,58.29,oil,4,0.0625,0.957603281,0.514911615,0.699835806
43,58.97,oil,8,0.00390625,0.997296056,0.500937994,0.706647192
45,61.47,cort,4,0.0625,0.957603281,0.514911615,0.699835806
46,62.53,cort,8,0.00390625,0.997296056,0.500937994,0.706647192
47,58.14,oil,10,0.000976563,0.999323328,0.500234572,0.70699182
49,59.49,cort,10,0.000976563,0.999323328,0.500234572,0.70699182
50,54.68,cort,6,0.015625,0.989228013,0.503747258,0.705272524
51,61.08,cort,6,0.015625,0.989228013,0.503747258,0.705272524
52,60.22,cort,6,0.015625,0.989228013,0.503747258,0.705272524
53,62.34,cort,6,0.015625,0.989228013,0.503747258,0.705272524
56,65.65,oil,8,0.00390625,0.997296056,0.500937994,0.706647192
57,60.43,oil,10,0.000976563,0.999323328,0.500234572,0.70699182
58,61.48,oil,6,0.015625,0.989228013,0.503747258,0.705272524
59,65.55,oil,6,0.015625,0.989228013,0.503747258,0.705272524
60,65.71,oil,10,0.000976563,0.999323328,0.500234572,0.70699182
61,63.16,oil,4,0.0625,0.957603281,0.514911615,0.699835806
62,65.63,cort,6,0.015625,0.989228013,0.503747258,0.705272524
64,63.18,cort,4,0.0625,0.957603281,0.514911615,0.699835806
65,71.2,oil,4,0.0625,0.957603281,0.514911615,0.699835806
68,68.16,cort,8,0.00390625,0.997296056,0.500937994,0.706647192
69,63.8,cort,10,0.000976563,0.999323328,0.500234572,0.70699182
70,68.31,oil,10,0.000976563,0.999323328,0.500234572,0.70699182
71,60.71,cort,4,0.0625,0.957603281,0.514911615,0.699835806
73,67.1,oil,6,0.015625,0.989228013,0.503747258,0.705272524
