major,mcat,gpa
1,488,3.39
1,487,3.39
1,493,3.39
3,495,3.39
1,496,3.39
3,497,3.39
1,497,3.81
1,509,3.81
4,501,3.66
3,511,3.95
1,500,3.8
1,499,3.8
2,508,3.67
4,496,3.4
4,508,3.4
1,502,3.14
3,494,3.7
3,503,3.7
1,511,3.87
3,507,4
1,504,3.18
1,505,3.18
3,493,3.86
3,494,3.86
3,496,4
3,493,3.86
3,496,4
4,503,3.39
1,481,2.69
3,497,3.8
1,508,4
3,504,3.8
4,508,3.76
1,495,3.72
4,495,3.92
1,500,3.72
4,499,3.92
4,493,3.92
3,499,3.8
3,501,3.8
2,511,3.92
3,507,3.95
2,484,3.46
3,504,3.8
1,502,3.72
2,493,3.93
3,508,3.81
3,513,3.81
4,506,4
1,503,3.83
4,490,3.41
3,490,3.55
4,511,4
3,507,3.74
3,511,3.7
3,502,3.5
2,501,3.92
2,507,3.92
4,522,4
1,504,3.73
3,502,3.9
1,513,3.97
3,501,3.93
3,504,3.93
4,482,3.49
1,485,3.49
4,488,3.49
4,516,4
1,486,3.77
1,493,3.77
1,487,3.77
1,485,3.14
1,498,3.96
1,501,3.96
1,507,3.94
1,490,3.5
1,489,3.5
3,489,3.1
1,510,3.97
4,500,3.75
4,503,4
4,483,3.33
4,497,3.33
2,514,3.53
2,502,3.85
3,510,3.89
2,515,3.95
1,499,3.87
4,497,3.7
1,490,3.83
1,502,4
3,503,3.82
3,498,3.62
1,484,3.35
1,497,2.81
1,497,2.81
3,503,3.97
1,518,3.87
2,506,3.95
1,494,3.36
4,500,3.97
4,500,3.97
1,509,4
3,517,4
